Unnamed: 0,Date,Title,URLs,Views,Is_Video,Video_ID,Video_Duration,Duration_Minutes
VM644:1 ,30/01/2024,SUNDAY LEAGUE EPISODE 1: LONDON LEGACY VS ZONE 4 ATHLETIC,https://www.youtube.com/watch?v=tWv-eHcLP7o,415.0,True,tWv-eHcLP7o,PT1H37M32S,97.53333333333333
VM1379:1 ,30/01/2024,Premier Football Showcase: Full Match |  Premier League to Non-League Scouts | #footballtrials #epl,https://www.youtube.com/watch?v=kdyy2Uzf7RI&t=9s,98.0,True,kdyy2Uzf7RI,PT1H42M8S,102.13333333333334
VM1379:1 ,30/01/2024,Premier Football UK vs. Rotherham United FC | Match | November 2023 ⚽ #FootballTrials #SoccerTrials,https://www.youtube.com/watch?v=GKTjtOoiqC4,163.0,True,GKTjtOoiqC4,PT1H34M37S,94.61666666666666
VM1379:1 ,30/01/2024,Premier Football Women V Manchester United Women | Pro Match | #footballtrials #wsl #womensfootball,https://www.youtube.com/watch?v=Mvy83jbMtMo,120.0,True,Mvy83jbMtMo,PT1H32M37S,92.61666666666666
VM1379:1 ,30/01/2024,Premier Football UK v Mansfield Town | August 2023 #PremierFootballUK #footballtrials #soccertrials,https://www.youtube.com/watch?v=AuZSl0oXtlI,182.0,True,AuZSl0oXtlI,PT1H33M17S,93.28333333333333
VM1379:1 ,30/01/2024,PFUK V  Lincoln City FC  | #WomensFootball #PremierFootballUK #soccertrials,https://www.youtube.com/watch?v=x4OVzujFU_s,22.0,True,x4OVzujFU_s,PT2H3M52S,123.86666666666666
VM1379:1 ,30/01/2024,Premier Football UK V Fleetwood Town FC 📅 Aug 2023 ➡️ Professional Football Trials #footballtrials,https://www.youtube.com/watch?v=7pbZEodsRrA,164.0,True,7pbZEodsRrA,PT1H31M14S,91.23333333333333
VM1379:1 ,30/01/2024,FULL MATCH | Burton Albion V Premier Football UK | April 2022,https://www.youtube.com/watch?v=Ej1FHgpPCQc,453.0,True,Ej1FHgpPCQc,PT1H50M54S,110.9
VM1379:1 ,30/01/2024,FULL MATCH | Premier Football UK V Salford City | April 22,https://www.youtube.com/watch?v=23U3oGZxZHw,273.0,True,23U3oGZxZHw,PT1H30M11S,90.18333333333334
VM1379:1 ,30/01/2024,Premier Football UK | Showcase Match v Chesterfield FC 2019 | Real Clubs. Real Opportunities.,https://www.youtube.com/watch?v=8-7lTueeFPw,400.0,True,8-7lTueeFPw,PT1H32M44S,92.73333333333333
